vessel_type,speed_kn,cargo_load_t,distance_nm,fuel_type,weather,fuel_consumption_l
Feeder,13.51,3104.1,1579.6,Hydrogen,Calm,50.0
Ro-Ro,18.07,2117.4,1073.3,Hydrogen,Calm,108.7
Ro-Ro,18.4,4437.9,615.8,Hydrogen,Moderate,81.7
Tanker,15.68,8064.7,876.8,Ammonia,Rough,163.8
Ro-Ro,12.75,4013.6,239.8,Hydrogen,Calm,50.0
Tanker,18.71,5527.9,909.4,Hydrogen,Moderate,223.2
Handymax,14.28,2479.9,1523.1,Conventional (HFO/MGO),Calm,88.0
Ro-Ro,18.24,4079.9,741.1,Ammonia,Moderate,117.3
Ro-Ro,11.07,6636.3,1512.9,Conventional (HFO/MGO),Moderate,62.2
Container,18.26,3742.1,384.8,Methanol,Moderate,95.8
Tanker,16.88,7077.7,1284.8,Methanol,Moderate,251.0
Container,16.8,5203.3,987.5,Conventional (HFO/MGO),Rough,233.7
Ro-Ro,13.53,3479.0,1506.9,Conventional (HFO/MGO),Moderate,96.1
Tanker,13.66,10214.6,492.3,Hydrogen,Calm,51.1
Ro-Ro,15.16,2632.1,1177.1,Hydrogen,Calm,84.4
Handymax,13.43,2867.9,1442.1,Methanol,Calm,68.2
Handymax,18.66,5561.2,1584.4,Conventional (HFO/MGO),Calm,228.0
Panamax,18.17,5035.4,708.1,Hydrogen,Calm,111.2
Feeder,11.62,1556.7,1337.4,Methanol,Calm,50.0
Feeder,15.76,1637.0,1436.0,Hydrogen,Moderate,50.0
Container,16.57,3266.1,1162.7,Conventional (HFO/MGO),Calm,217.9
Ro-Ro,16.29,2355.3,2046.5,Conventional (HFO/MGO),Moderate,169.0
Container,12.25,13535.9,1138.7,Methanol,Moderate,135.6
Panamax,15.91,8552.4,1322.0,Methanol,Moderate,207.0
Tanker,14.69,6613.6,194.3,LNG,Moderate,50.0
Container,18.09,3442.3,1528.1,Conventional (HFO/MGO),Calm,322.6
Ro-Ro,17.92,2003.3,2027.8,Hydrogen,Calm,184.2
Feeder,12.97,3023.4,1806.9,Methanol,Calm,50.0
